parentclass,subclass,caption,document name,field,Path
Photos,,FIGURE 17: ARRIVEE DU RESEAU UNITAIRE D’EAU ENRICHIE EN PERXOXYDE D’HYDROGENE A UNE ARMOIRE DE DISTRIBUTION ET DEPARTS VERS LES COUPLES D’AIGUILLES,S0223-03-01 Rapport d'installation du traitement global.pdf,Grande-Synthe,/database/Photos/S0223-03-01 Rapport d'installation du traitement global-Figure17-1.png
Photos,,Figure 17 - Photographie de l’unité de traitement des eaux souterraines,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Photos/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Figure17-1.png
Photos,,"Figure 4.8. Picture of field plots 2, 4 and 5 in june 2004 (3 month after sowing). At these locations green seedlings started to cover the surface of the sown subplot.",La Combe du Saut Phytostabilization_Hasselt_IRH.pdf,ADEME,/database/Photos/La Combe du Saut Phytostabilization_Hasselt_IRH-Figure4.8-1.png
Photos,,"FIGURE 15: VUE DE L’UNITE DE TRAITEMENT, DES DEUX BIOFILTRES ET DU BAC DE REPRISE",S0223-03-01 Rapport d'installation du traitement global.pdf,Grande-Synthe,/database/Photos/S0223-03-01 Rapport d'installation du traitement global-Figure15-1.png
Photos,,L sur le sol S3.,PAR-RAP-11-07679B Caractérisation complémentaire - Gde Synthe.pdf,Grande-Synthe,/database/Photos/PAR-RAP-11-07679B Caractérisation complémentaire - Gde Synthe-Figure4-1.png
Photos,,FIGURE 4 SONDAGES CAROTTES SOUS GAINE,S0223-03-01 Rapport d'installation du traitement global.pdf,Grande-Synthe,/database/Photos/S0223-03-01 Rapport d'installation du traitement global-Figure4-1.png
Photos,,Figure 2 : Reportage photographique du site (Septembre 2015),SolEnv_ADEME Dieulouard (54)_DOE vC_VF.pdf,Dieulouard,/database/Photos/SolEnv_ADEME Dieulouard (54)_DOE vC_VF-Figure2-1.png
Photos,,FIGURE 5 : INTERIEUR DU CONTAINER DE TRAITEMENT ET DETAIL DE LA PLANCHE D'INJECTION,XP028-01-01- Rapport d'essai pilote.compressed.pdf,Grande-Synthe,/database/Photos/XP028-01-01- Rapport d'essai pilote.compressed-Figure5-1.png
Photos,,Figure 4.9. Picture of field plot 1 in june 2004 (3 month after sowing). At locations 1 and 3 most seedlings were dying at this moment.,La Combe du Saut Phytostabilization_Hasselt_IRH.pdf,ADEME,/database/Photos/La Combe du Saut Phytostabilization_Hasselt_IRH-Figure4.9-1.png
Photos,,"Figure 3.3. Pictures of the growth experiment with a first series of seeds. From left to right the following species were sown: 1= Dactylis glomerata, 2=bad bath of Arrherntherum elatius seeds-no germination, 3= Festuca ovina, 4= Agrostis capillaris, 5= Lotus corniculatus, 6=Medicago lupulina, 7= Onobrychis sativa, 8= Echium vulgare, 9= Sanguisorba minor, 10= Daucus carota, 11= Arrhenatherum elatius).",La Combe du Saut Phytostabilization_Hasselt_IRH.pdf,ADEME,/database/Photos/La Combe du Saut Phytostabilization_Hasselt_IRH-Figure3.3-1.png
