id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,6,7,4,5,2,1,3,29,13,18,16,36,28,26,23,10,22,19,15,20,17,11,35,37,14,21,9,32,12,30,25,8,24,33,34,31,27
7,1,2,3,5,4,13,36,28,10,11,7,15,16,29,6,23,18,14,22,19,20,26,17,12,37,35,21,9,0,32,8,30,25,34,33,24,31,27
9,2,1,3,5,4,13,36,28,10,7,11,6,16,29,15,23,18,22,19,14,20,17,26,37,12,35,0,9,21,32,8,30,25,34,33,24,31,27
13,3,1,5,2,13,4,36,28,10,15,11,16,29,7,23,14,18,6,22,19,20,17,26,12,37,35,21,9,0,32,8,30,25,34,33,24,31,27
14,4,5,1,7,2,3,6,13,36,28,10,29,16,15,11,18,23,0,22,20,19,14,26,17,12,37,35,21,9,32,8,30,25,34,33,24,31,27
16,5,4,3,1,2,7,13,36,6,28,10,29,16,15,11,23,18,22,20,19,14,26,17,0,37,12,35,21,9,32,8,30,25,34,33,24,31,27
19,6,7,4,0,5,2,1,3,13,29,28,36,10,16,18,23,15,22,11,19,26,20,17,14,37,35,9,12,21,32,8,30,25,34,33,24,31,27
21,7,6,4,5,0,2,1,3,13,36,28,29,10,16,18,15,23,11,22,26,19,20,14,17,35,37,12,21,9,32,30,8,25,34,33,24,31,27
100,8,9,10,16,18,29,36,28,19,23,2,3,13,1,17,11,5,15,4,22,20,37,14,35,6,26,7,21,12,32,30,25,33,34,24,0,31,27
102,9,8,16,28,29,36,23,19,13,10,2,18,17,22,1,3,5,11,20,4,37,15,35,6,26,14,7,21,32,30,12,25,34,33,0,24,31,27
121,10,13,36,28,3,11,15,1,2,16,29,5,14,23,4,19,22,18,20,17,12,37,26,7,6,35,9,21,8,32,30,25,0,34,33,24,31,27
122,11,14,13,10,36,15,28,3,1,16,2,29,12,5,23,20,19,22,4,18,17,26,37,35,7,6,21,9,32,30,8,25,34,33,0,24,31,27
135,12,14,15,11,10,28,36,29,13,16,3,1,23,2,5,20,22,18,19,17,4,35,37,26,21,7,32,30,6,25,9,34,33,8,31,27,24,0
160,13,10,36,28,3,1,2,11,5,15,16,29,4,14,23,19,22,18,20,17,26,37,7,12,6,35,9,21,8,32,30,25,0,34,33,24,31,27
185,14,12,15,11,10,28,36,13,16,3,29,1,2,23,5,20,22,19,18,4,17,35,37,26,7,21,6,32,30,25,9,8,34,33,24,27,31,0
