id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,13,5,18,2,7,1,36,3,20,35,28,33,6,23,22,21,25,27,31,17,24,16,26,8,34,4,30,11,37,19,10,29,32,15,9,12,14
7,1,4,7,5,3,2,13,6,36,28,18,23,35,20,31,27,33,21,16,25,22,30,17,24,11,26,8,34,15,10,29,37,32,19,12,14,0,9
9,2,5,13,1,3,28,20,36,18,35,23,25,31,7,21,27,33,22,30,16,4,34,24,17,11,26,8,6,15,37,10,29,12,32,19,14,9,0
13,3,5,1,2,4,36,28,13,21,23,35,20,18,22,31,33,27,25,7,15,30,16,24,17,26,34,6,11,8,10,14,37,29,12,32,19,0,9
14,4,1,7,5,3,6,2,13,36,18,28,16,21,17,23,20,35,15,22,33,31,24,25,27,30,11,26,34,10,37,8,32,29,14,19,12,0,9
16,5,3,13,1,7,2,20,35,28,18,36,6,27,4,31,33,23,21,25,24,26,22,30,34,16,17,8,11,10,15,29,37,32,12,19,14,0,9
19,6,5,7,1,4,13,3,2,35,36,18,20,28,23,33,27,22,31,30,26,25,34,11,21,24,16,17,10,8,37,15,29,0,32,19,12,14,9
21,7,1,4,5,13,6,2,3,36,18,28,20,16,35,23,27,25,33,31,17,24,21,22,30,26,11,34,10,15,8,37,12,29,32,14,0,19,9
100,8,35,13,20,36,31,5,27,18,33,28,25,23,30,21,26,2,3,22,34,16,1,17,24,11,29,10,19,7,15,37,32,9,6,4,12,14,0
102,9,35,18,26,28,20,33,36,13,31,27,5,8,30,23,2,22,34,25,21,16,1,17,24,7,3,10,29,19,15,6,11,4,37,12,32,0,14
121,10,14,15,12,36,18,28,13,20,35,16,31,5,27,33,17,23,26,22,21,3,30,25,24,11,7,1,29,34,2,8,37,19,6,32,4,9,0
122,11,12,13,36,28,2,5,20,3,18,23,25,1,35,21,31,33,27,22,24,7,8,26,30,34,10,16,14,17,37,6,4,15,19,29,32,0,9
135,12,11,10,14,28,36,18,15,23,20,31,13,5,26,3,35,33,27,25,16,21,30,17,22,2,7,24,34,1,37,29,8,19,32,4,6,9,0
160,13,5,20,35,36,18,28,27,23,33,31,2,22,25,21,3,30,7,26,24,34,1,16,17,8,6,11,10,29,37,15,4,19,32,12,0,14,9
185,14,15,10,12,3,36,18,28,11,20,31,23,22,27,21,16,33,35,5,17,26,24,25,30,13,34,2,1,37,7,29,19,32,4,8,6,0,9
186,15,14,10,3,18,28,36,20,23,27,31,35,16,21,13,33,5,22,30,25,26,2,17,1,24,34,12,7,4,29,11,37,8,6,32,19,9,0
206,16,17,18,36,13,5,31,23,33,21,28,35,22,27,3,20,2,24,30,25,1,10,7,26,15,34,8,4,29,37,11,12,14,19,6,32,9,0
208,17,16,18,36,5,13,28,3,31,33,35,21,27,22,2,23,25,20,1,24,30,26,10,7,8,34,15,4,19,37,11,29,14,12,6,32,9,0
215,18,35,28,13,33,20,31,36,27,5,23,25,30,26,21,16,3,34,2,17,22,24,1,10,15,8,7,11,37,29,4,12,19,6,14,32,9,0
232,19,18,13,28,20,36,17,35,31,5,33,22,25,21,8,3,16,34,27,26,23,10,30,24,2,1,11,37,15,29,7,14,12,4,6,32,9,0
306,20,13,35,18,28,5,33,36,31,27,23,21,2,22,26,3,30,24,25,34,16,1,8,10,15,7,17,11,37,29,6,19,12,4,14,32,9,0
506,21,22,23,13,20,28,5,3,35,36,27,18,31,33,30,2,16,26,25,24,34,17,1,8,15,10,7,11,37,29,4,32,19,12,14,6,9,0
507,22,21,13,35,36,20,28,27,5,3,18,23,33,31,26,25,24,30,16,2,34,17,1,8,15,10,7,37,11,29,4,6,19,14,32,12,9,0
508,23,21,13,20,28,18,5,35,36,3,27,33,31,30,22,2,26,34,25,16,1,24,17,15,8,7,11,10,29,37,4,12,6,32,14,19,9,0
712,24,13,5,18,20,35,31,36,22,33,27,28,21,25,3,23,34,2,16,30,26,17,1,7,8,10,11,37,15,4,29,6,14,19,32,12,9,0
1049,25,31,27,34,28,36,33,13,30,18,35,5,20,3,2,22,23,21,26,24,16,17,1,8,11,7,15,10,29,37,4,19,6,12,14,32,9,0
1055,26,35,18,13,27,33,20,5,28,36,31,23,22,21,34,30,25,3,24,2,16,8,17,10,15,1,7,11,29,12,6,37,14,19,9,4,32,0
1056,27,31,30,35,25,33,28,13,18,36,20,5,34,26,21,23,22,3,2,24,16,8,17,1,15,7,32,10,29,37,11,6,12,4,14,19,9,0
1081,28,36,25,18,13,27,20,5,30,31,23,35,33,21,3,2,22,34,26,16,1,24,17,15,10,8,11,7,12,4,19,37,29,6,14,32,9,0
1082,29,31,33,35,13,18,27,5,20,34,30,25,22,3,21,23,16,26,28,10,36,8,2,15,24,17,1,7,32,11,12,14,6,19,4,37,9,0
1096,30,27,31,34,35,28,33,25,13,18,20,23,5,36,21,22,3,26,32,2,16,24,1,8,17,15,10,29,7,11,6,12,37,4,14,19,9,0
1098,31,27,33,25,30,35,18,34,13,20,28,36,5,21,23,3,29,22,26,2,24,16,17,8,1,15,10,7,11,32,37,12,19,4,14,6,9,0
1109,32,30,27,31,5,33,13,21,23,18,35,3,20,22,28,1,25,2,26,16,36,8,29,24,34,17,10,7,15,11,37,4,14,12,6,19,0,9
1114,33,31,35,27,18,25,34,20,13,5,30,28,36,26,23,21,29,22,3,2,24,16,17,8,1,15,10,7,11,37,32,6,4,12,19,14,9,0
1115,34,25,35,30,33,31,27,13,28,18,5,20,36,23,26,21,2,22,24,3,16,8,1,17,29,7,11,15,10,37,6,19,4,14,12,32,9,0
1116,35,33,27,31,18,13,34,20,26,5,30,28,23,22,36,25,21,3,2,24,8,16,1,29,17,10,15,7,37,11,6,4,19,12,32,9,14,0
1214,36,28,13,25,18,27,5,20,31,35,3,23,33,22,21,2,16,30,34,26,17,24,1,7,10,8,11,15,37,4,12,6,14,19,29,32,9,0
1218,37,13,20,36,35,18,22,27,5,21,33,24,3,28,31,2,23,25,16,17,34,10,11,26,30,1,7,15,8,19,14,12,6,4,32,29,0,9
