,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,5,4,1,3,7,2,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,1,4,2,5,3,7,6,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2,2,1,4,5,3,7,6,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
3,3,4,5,1,2,7,6,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
4,4,1,3,5,7,2,6,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
5,5,3,4,7,1,6,2,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
6,6,5,7,4,1,2,3,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
7,7,5,4,1,6,3,2,0,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
8,8,9,10,11,12,13,7,5,6,3,14,4,15,2,1,0,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
9,9,8,10,11,12,13,14,7,5,15,6,4,3,2,1,16,0,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
10,10,11,12,8,9,13,14,15,16,17,18,7,5,6,4,3,19,2,1,0,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
11,11,12,10,8,13,9,14,15,16,17,18,7,5,6,4,3,19,2,1,0,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
12,12,11,10,13,8,9,14,15,16,17,18,19,7,5,6,4,3,2,1,0,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
13,13,14,12,15,11,10,16,17,18,9,8,19,7,5,6,20,4,3,2,1,0,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
14,14,15,16,17,13,18,12,19,11,10,9,8,20,7,5,6,3,4,2,1,0,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
15,15,14,16,17,13,18,19,12,10,11,9,8,20,7,5,6,3,4,2,1,0,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
