,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,5,4,7,13,1,3,27,20,35,36,33,6,31,17,21,28,34,16,23,2,18,10,25,22,29,24,30,19,26,15,14,11,12,9,8,32,37
1,1,4,5,2,7,3,27,13,21,23,36,28,16,6,35,18,20,17,11,33,31,10,22,12,34,14,15,30,25,26,19,24,29,0,8,9,32,37
2,2,1,4,5,3,7,27,13,23,16,28,21,36,35,18,17,33,20,11,31,6,34,10,25,15,22,14,12,30,19,26,24,8,29,0,9,32,37
3,3,5,4,27,16,23,35,1,13,33,36,20,28,21,31,18,17,15,14,11,10,34,7,2,22,25,12,30,26,19,29,24,6,8,0,9,32,37
4,4,1,3,5,7,27,2,21,23,13,28,36,35,16,20,18,33,31,17,6,11,34,10,22,25,30,15,14,12,19,26,24,0,29,8,9,32,37
5,5,3,4,7,27,1,13,35,21,23,36,16,20,33,28,31,18,17,6,2,10,34,22,11,14,25,30,26,12,15,24,0,29,19,8,9,32,37
6,6,5,7,1,4,2,13,3,27,21,35,18,23,28,17,36,16,20,22,10,31,0,33,11,34,30,25,19,12,26,24,14,15,29,8,9,32,37
7,7,5,4,1,6,3,2,13,27,21,17,18,36,23,28,16,20,11,35,33,31,12,0,22,10,30,25,34,14,15,24,19,26,29,8,32,9,37
8,8,16,10,36,13,27,33,20,35,3,31,18,28,5,11,2,21,22,12,17,23,34,1,25,4,19,26,30,9,14,15,29,24,7,6,32,0,37
9,9,35,20,27,5,23,13,33,31,21,3,28,16,36,34,18,4,10,8,1,11,17,22,25,26,30,14,15,29,2,19,24,12,7,6,0,32,37
10,10,13,27,35,18,16,33,14,31,20,5,3,28,36,23,21,12,17,15,1,34,22,4,30,26,11,25,29,19,2,8,7,24,6,9,0,32,37
11,11,12,13,3,27,36,21,5,16,28,1,14,23,20,4,35,18,31,17,33,10,15,2,34,30,25,22,26,7,19,29,24,8,6,9,0,32,37
12,12,11,14,10,27,3,16,36,21,13,28,5,18,1,15,23,31,17,35,20,33,4,34,30,25,22,2,7,26,19,8,29,24,6,32,9,0,37
13,13,5,35,27,20,36,16,3,23,33,10,21,1,11,31,28,18,4,34,17,26,22,14,2,15,12,25,7,30,29,19,24,6,0,8,9,32,37
14,14,15,27,3,23,16,10,36,28,35,21,12,11,18,20,13,31,33,5,17,34,4,1,30,25,22,26,2,19,29,24,7,8,9,6,0,32,37
15,15,14,3,23,27,28,21,16,36,35,10,20,13,18,31,33,17,5,12,4,11,1,34,22,30,25,26,2,19,29,24,7,8,9,6,0,32,37
16,16,17,27,3,36,13,5,21,18,35,23,33,28,31,20,10,14,1,4,22,11,34,15,25,2,12,26,30,29,24,7,19,8,6,9,0,32,37
17,17,16,18,3,27,5,36,13,21,31,23,33,1,35,28,4,10,14,20,11,15,22,34,2,25,12,7,24,30,26,19,29,8,6,0,9,32,37
18,18,27,16,3,17,35,5,13,20,31,33,23,28,10,21,36,4,1,14,34,11,22,15,30,12,26,25,19,2,7,29,24,8,6,9,0,32,37
19,19,18,27,20,13,3,33,35,36,23,4,21,10,31,5,28,1,17,14,16,34,15,11,26,25,22,2,30,12,29,7,8,24,6,0,9,32,37
20,20,27,35,13,23,5,3,33,21,28,36,16,18,31,34,4,10,1,11,14,22,26,17,15,30,25,12,2,29,19,7,24,8,9,0,6,32,37
21,21,23,27,5,35,16,3,13,36,28,20,4,31,33,22,1,18,17,34,11,10,14,15,30,25,12,2,26,7,19,24,29,6,8,9,0,32,37
22,22,21,35,27,5,16,33,3,13,20,23,36,31,10,18,28,34,1,4,17,15,11,14,26,25,30,12,2,29,7,24,19,8,6,0,9,32,37
23,23,21,27,3,35,20,5,13,28,33,16,31,36,4,1,18,15,14,34,17,10,11,30,22,25,2,26,12,19,7,29,24,6,9,8,0,32,37
24,24,5,16,27,31,36,17,3,21,13,28,4,33,23,35,1,18,20,25,10,22,34,2,14,11,15,30,7,26,29,12,19,8,0,6,9,32,37
25,25,31,34,27,33,36,35,3,5,21,23,16,13,28,4,20,18,17,10,1,14,11,22,15,30,12,2,29,24,19,7,26,8,0,6,9,32,37
