,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,6,5,4,2,7,3,1,13,36,23,22,26,28,18,35,21,10,29,8,19,27,20,33,24,25,31,32,11,30,14,9,34,16,12,15,37,17
1,1,7,4,2,5,3,36,35,28,23,13,6,26,10,21,22,18,27,33,8,24,20,25,31,29,11,19,9,30,34,0,14,32,12,16,15,17,37
2,2,5,1,3,4,36,13,23,7,28,35,6,26,21,22,10,18,27,33,24,20,8,0,19,25,29,11,31,9,30,34,14,12,32,16,15,17,37
3,3,5,4,2,1,36,13,28,23,35,7,21,10,26,22,18,27,8,6,33,20,24,25,19,11,31,29,14,30,34,0,9,12,15,32,16,17,37
4,4,1,7,5,3,2,6,36,13,28,23,35,0,26,21,18,22,10,27,33,11,8,24,19,25,20,31,29,30,9,34,14,16,12,32,15,17,37
5,5,2,3,7,1,4,36,6,13,23,35,28,26,21,22,10,27,18,33,0,24,8,20,25,11,19,31,29,9,30,34,14,32,12,16,15,17,37
6,6,5,7,0,2,4,1,3,36,13,23,28,35,22,26,10,21,18,27,33,20,29,25,19,24,8,31,11,30,34,9,32,14,12,16,15,37,17
7,7,1,4,5,2,6,3,36,35,28,23,13,26,27,10,0,18,21,22,33,20,8,24,25,31,11,29,19,30,9,32,34,16,12,14,15,17,37
8,8,36,26,28,13,35,23,3,5,2,21,18,10,22,27,1,33,24,19,20,9,11,31,29,7,4,25,30,34,6,16,32,12,14,17,15,0,37
9,9,36,35,28,23,13,26,10,21,2,5,18,22,8,24,27,33,3,1,20,29,19,31,25,7,4,34,30,11,6,12,14,16,32,15,17,0,37
10,10,13,23,35,36,28,14,12,21,22,5,26,18,2,11,3,27,33,20,1,29,15,31,24,19,8,25,9,7,4,6,30,34,32,16,17,0,37
11,11,12,13,10,23,35,36,14,28,21,26,5,2,22,3,18,24,27,8,1,33,15,25,29,19,31,20,4,7,34,30,6,9,32,16,17,37,0
12,12,11,14,10,15,13,28,23,35,36,21,26,22,3,18,5,27,24,2,29,33,19,31,20,1,25,8,30,4,34,7,32,9,16,6,17,37,0
13,13,23,35,36,10,28,2,5,21,26,22,3,18,33,27,24,11,1,20,29,31,8,19,25,12,9,4,7,14,6,34,30,15,32,16,0,17,37
14,14,15,10,12,11,13,28,23,3,35,21,36,22,29,5,2,27,31,26,33,18,25,20,1,24,30,19,34,4,32,6,7,8,16,9,17,0,37
15,15,14,12,10,13,11,3,29,35,28,23,31,21,22,33,36,18,27,25,26,24,20,5,2,19,30,34,4,1,32,16,8,9,6,7,17,0,37
16,16,17,19,36,18,28,3,13,23,10,35,8,26,5,21,2,22,1,4,24,7,11,33,27,31,12,25,14,29,9,6,15,34,30,32,20,0,37
17,17,16,19,18,36,3,28,8,10,23,13,26,21,5,35,24,4,2,1,22,11,7,12,14,33,27,15,31,29,9,6,25,34,30,32,20,0,37
18,18,13,23,36,28,35,10,5,21,2,22,26,3,1,24,19,27,8,20,7,4,9,33,11,29,25,6,31,12,34,16,14,30,15,32,17,0,37
19,19,36,13,28,23,26,18,35,10,5,2,3,21,22,8,24,20,1,33,27,16,11,9,29,4,7,6,12,17,31,25,14,30,34,15,32,0,37
20,20,13,36,10,23,28,35,2,26,22,5,21,18,29,3,27,1,8,33,24,19,7,9,31,25,11,6,4,14,34,30,12,15,32,0,16,37,17
21,21,23,22,13,36,28,35,5,2,10,26,3,18,24,27,1,33,8,11,20,29,31,4,9,25,7,19,6,14,12,30,34,15,32,16,0,17,37
