id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,5,13,7,6,4,35,27,1,31,10,18,33,2,23,29,3,20,19,8,24,28,26,37,11,16,34,30,17,22,21,36,25,12,32,15,9,14
7,1,4,2,7,3,5,23,31,13,27,35,18,11,28,33,10,16,20,6,21,29,24,15,12,8,30,14,34,26,36,17,37,25,22,19,9,32,0
9,2,1,3,5,4,13,27,7,23,31,18,11,35,28,16,33,24,10,20,8,12,30,29,15,21,6,36,17,26,37,34,14,22,25,19,32,9,0
13,3,1,5,2,4,7,13,31,27,23,15,35,18,28,11,33,10,16,24,14,20,21,29,12,6,17,34,30,26,8,36,25,22,37,19,32,9,0
14,4,1,7,3,5,2,31,27,13,23,35,18,33,6,28,11,15,10,16,29,24,20,21,14,12,17,34,30,36,25,8,26,37,19,22,32,0,9
16,5,7,13,3,1,2,35,27,4,23,31,18,6,33,10,28,11,16,29,20,24,8,34,21,17,26,12,30,37,19,36,22,15,14,25,9,0,32
19,6,5,7,1,4,3,13,35,2,18,23,31,27,33,29,20,10,16,28,24,11,34,17,26,8,37,21,19,30,15,36,22,12,14,25,9,0,32
21,7,4,5,1,3,2,27,31,13,35,23,18,33,6,16,28,11,24,10,29,20,21,17,12,30,34,36,26,37,15,25,8,19,14,22,32,0,9
100,8,5,2,13,35,1,31,33,23,27,3,10,11,18,28,29,7,20,9,4,16,24,21,26,34,12,37,30,36,19,25,17,6,22,15,14,32,0
102,9,8,35,13,5,23,33,27,31,29,10,20,18,1,11,3,28,34,2,30,6,26,7,21,16,4,37,24,22,17,19,12,36,15,25,14,32,0
121,10,13,35,5,23,31,33,1,27,18,3,28,29,15,14,20,4,2,12,16,7,26,11,21,24,8,34,30,36,17,37,22,19,6,25,9,32,0
122,11,12,13,31,27,1,2,3,5,23,35,28,7,33,4,18,16,30,14,10,34,21,24,29,15,20,17,8,36,25,26,22,37,6,19,9,32,0
135,12,11,14,31,27,1,10,3,23,35,15,13,2,28,5,18,24,33,7,4,16,21,30,34,36,29,20,26,25,17,8,22,37,19,6,32,9,0
160,13,5,35,23,27,31,10,3,1,11,2,33,7,18,28,20,16,29,4,24,21,30,26,17,8,34,12,22,6,15,19,37,36,14,25,9,32,0
185,14,15,12,10,3,11,1,27,31,4,23,5,28,13,2,35,18,16,24,33,20,7,30,21,36,34,29,17,26,25,22,19,6,37,8,32,9,0
186,15,14,3,10,4,1,27,31,12,28,23,35,13,18,16,2,11,5,33,24,7,17,20,29,30,36,34,21,26,25,22,19,6,8,37,32,9,0
206,16,17,13,18,27,5,28,31,3,23,2,7,1,35,11,10,4,24,33,36,15,12,29,30,21,37,26,14,20,6,8,19,22,34,25,32,9,0
208,17,16,18,13,31,28,5,3,27,23,24,7,1,2,35,11,10,4,33,15,36,29,19,21,26,30,12,37,14,6,20,8,34,22,25,32,9,0
215,18,5,35,23,13,1,31,2,7,3,27,28,20,16,10,33,4,17,24,11,29,21,12,30,15,6,34,36,22,26,8,37,14,19,25,32,9,0
232,19,5,13,35,10,31,33,18,23,27,1,16,20,3,7,2,28,17,29,4,11,24,8,26,6,12,15,22,21,34,30,36,14,37,25,9,0,32
306,20,13,18,5,35,1,3,23,31,10,33,2,27,29,7,28,4,11,24,26,21,22,16,8,6,34,15,12,19,30,14,37,36,17,9,25,32,0
506,21,23,1,3,13,5,18,31,27,35,11,22,10,2,7,4,28,33,12,16,20,24,29,15,30,8,17,26,36,14,34,37,6,19,25,9,32,0
507,22,13,35,21,31,5,33,18,23,10,27,3,29,20,1,2,28,16,7,34,11,4,12,24,26,25,15,36,17,8,19,30,14,37,6,9,32,0
508,23,13,5,1,21,27,35,31,3,18,2,7,10,11,28,4,16,33,29,20,24,30,12,15,17,8,26,34,14,6,36,22,37,19,25,9,32,0
712,24,31,3,5,13,27,2,18,23,7,1,35,16,28,33,12,11,17,4,10,20,29,15,21,36,14,30,8,26,37,34,6,22,19,25,32,9,0
1049,25,31,34,27,33,36,3,35,11,1,28,5,7,4,13,18,2,12,10,23,16,15,24,8,30,22,29,14,20,17,21,26,6,37,19,9,32,0
1055,26,35,13,28,10,5,33,36,3,27,23,31,1,2,18,7,20,29,37,16,11,4,24,12,8,21,17,34,15,30,22,19,6,14,25,32,9,0
